"","X1","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf"
"21",1,"POKE",2021,"storm2","NO3",0.495514470058737,7.493,10.1855303819444,0.635,12.192,12.192,7.9244660218254,47,0.159425531914894,151.28125,"burned","medium"
"22",2,"POKE",2021,"storm3","NO3",0.503021018968347,13.589,14.4058134920635,1.27,25.019,35.306,15.6807445436508,NA,NA,169.28125,"burned","medium"
"23",3,"POKE",2021,"storm4","NO3",0.466382420465727,13.335,11.9851414930556,2.54,2.667,39.243,16.8155126488095,NA,NA,203.815972222222,"burned","medium"
"24",4,"POKE",2021,"storm5","NO3",-0.158832836932249,21.971,12.8647175438596,1.27,17.272,33.02,13.1783460451977,88,0.249670454545455,207.357638888889,"burned","medium"
"25",5,"POKE",2021,"storm6","NO3",0.499733475479732,21.844,9.05528541666666,4.953,4.953,44.831,12.1482529761905,37,0.590378378378378,219.524305555556,"burned","medium"
"26",6,"POKE",2021,"storm7a","NO3",-0.392138478182473,62.738,5.16202802359882,5.715,40.005,79.248,7.34072991071428,NA,NA,225.815972222222,"burned","medium"
"27",7,"POKE",2021,"storm7b","NO3",0.432900908824388,20.574,5.31442929292929,7.747,75.946,141.859,4.50603943452381,NA,NA,230.524305555556,"burned","medium"
"28",8,"POKE",2021,"storm1","fDOM",-0.120764061081528,9.525,7.24742302259887,0.508,0.508,0.508,8.09315878378378,NA,NA,135.28125,"burned","medium"
"29",9,"POKE",2021,"storm2","fDOM",-0.456506694991633,7.493,10.1855303819444,0.635,12.192,12.192,7.9244660218254,47,0.159425531914894,151.28125,"burned","medium"
"30",10,"POKE",2021,"storm5","fDOM",-0.408207150368034,21.971,12.8647175438596,1.27,17.272,33.02,13.1783460451977,88,0.249670454545455,207.357638888889,"burned","medium"
"31",11,"POKE",2021,"storm6","fDOM",-0.465156232469428,21.844,9.05528541666666,4.953,4.953,44.831,12.1482529761905,37,0.590378378378378,219.524305555556,"burned","medium"
"32",12,"POKE",2021,"storm1","SPC",0.492860281195078,9.525,7.24742302259887,0.508,0.508,0.508,8.09315878378378,NA,NA,135.28125,"burned","medium"
"33",13,"POKE",2021,"storm2","SPC",0.740390131956367,7.493,10.1855303819444,0.635,12.192,12.192,7.9244660218254,47,0.159425531914894,151.28125,"burned","medium"
"34",14,"POKE",2021,"storm5","SPC",0.794873921698756,21.971,12.8647175438596,1.27,17.272,33.02,13.1783460451977,88,0.249670454545455,207.357638888889,"burned","medium"
"35",15,"POKE",2021,"storm6","SPC",0.86376404494382,21.844,9.05528541666666,4.953,4.953,44.831,12.1482529761905,37,0.590378378378378,219.524305555556,"burned","medium"
"36",16,"POKE",2021,"storm1","turb",-0.223895925667619,9.525,7.24742302259887,0.508,0.508,0.508,8.09315878378378,NA,NA,135.28125,"burned","medium"
"37",17,"POKE",2021,"storm2","turb",-0.162914275134234,7.493,10.1855303819444,0.635,12.192,12.192,7.9244660218254,47,0.159425531914894,151.28125,"burned","medium"
"38",18,"POKE",2021,"storm5","turb",-0.0209674273454262,21.971,12.8647175438596,1.27,17.272,33.02,13.1783460451977,88,0.249670454545455,207.357638888889,"burned","medium"
"39",19,"POKE",2021,"storm6","turb",-0.0898769293870812,21.844,9.05528541666666,4.953,4.953,44.831,12.1482529761905,37,0.590378378378378,219.524305555556,"burned","medium"
"40",1,"FRCH",2021,"storm1","NO3",-0.364642857142852,4.8,11.7661137152778,17,17,29.2,16.6055870535714,NA,NA,203.940972222222,"unburned","medium"
"41",2,"FRCH",2021,"storm2","NO3",-0.237625581965208,11.4,12.7981546052632,3.4,25.2,30.8,12.8917470238095,11,1.03636363636364,207.565972222222,"unburned","medium"
"42",3,"FRCH",2021,"storm3","NO3",0.150956284152989,5.2,12.0829262820513,8.8,20.2,45.8,17.2071599702381,22,0.236363636363636,216.899305555556,"unburned","medium"
"43",4,"FRCH",2021,"storm4","NO3",-0.0922800221361295,14.6,9.35502976190476,13.2,23.6,60.6,12.0718244047619,55,0.265454545454545,219.565972222222,"unburned","medium"
"44",5,"FRCH",2021,"storm5a","NO3",0.788946587537094,34.6,5.89865942028985,5.6,44.8,81.4,7.09488169642857,41,0.84390243902439,226.107638888889,"unburned","medium"
"45",6,"FRCH",2021,"storm5b","NO3",-0.452152521525209,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium"
"46",7,"FRCH",2021,"storm6a","NO3",0.732060185185134,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium"
"47",8,"FRCH",2021,"storm6b","NO3",-0.00637815738598482,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium"
"48",9,"FRCH",2021,"storm7","NO3",-0.0088996763753772,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium"
"49",10,"FRCH",2021,"storm7c","NO3",0.530510585305086,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unburned","medium"
"50",11,"FRCH",2021,"storm7d","NO3",0.3954057835821,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unburned","medium"
"51",12,"FRCH",2021,"storm8","NO3",-0.0658829292187117,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium"
"52",13,"FRCH",2021,"storm2","fDOM",-0.420606526681825,11.4,12.7981546052632,3.4,25.2,30.8,12.8917470238095,11,1.03636363636364,207.565972222222,"unburned","medium"
"53",14,"FRCH",2021,"storm3","fDOM",0.406932604676276,5.2,12.0829262820513,8.8,20.2,45.8,17.2071599702381,22,0.236363636363636,216.899305555556,"unburned","medium"
"54",15,"FRCH",2021,"storm4","fDOM",0.146170371344645,14.6,9.35502976190476,13.2,23.6,60.6,12.0718244047619,55,0.265454545454545,219.565972222222,"unburned","medium"
"55",16,"FRCH",2021,"storm5a","fDOM",-0.319548872180451,34.6,5.89865942028985,5.6,44.8,81.4,7.09488169642857,41,0.84390243902439,226.107638888889,"unburned","medium"
"56",17,"FRCH",2021,"storm5b","fDOM",-0.577974076616232,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium"
"57",18,"FRCH",2021,"storm6a","fDOM",-0.0518859886918157,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium"
"58",19,"FRCH",2021,"storm6b","fDOM",0.125654555545724,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium"
"59",20,"FRCH",2021,"storm7","fDOM",-0.688630440448268,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium"
"60",21,"FRCH",2021,"storm8","fDOM",-0.147444307967172,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium"
"61",22,"FRCH",2021,"storm2","SPC",0.628829699144366,11.4,12.7981546052632,3.4,25.2,30.8,12.8917470238095,11,1.03636363636364,207.565972222222,"unburned","medium"
"62",23,"FRCH",2021,"storm3","SPC",0.641627278865627,5.2,12.0829262820513,8.8,20.2,45.8,17.2071599702381,22,0.236363636363636,216.899305555556,"unburned","medium"
"63",24,"FRCH",2021,"storm4","SPC",0.830361966504578,14.6,9.35502976190476,13.2,23.6,60.6,12.0718244047619,55,0.265454545454545,219.565972222222,"unburned","medium"
"64",25,"FRCH",2021,"storm5a","SPC",0.770899470899476,34.6,5.89865942028985,5.6,44.8,81.4,7.09488169642857,41,0.84390243902439,226.107638888889,"unburned","medium"
"65",26,"FRCH",2021,"storm5b","SPC",0.387632978723413,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium"
"66",27,"FRCH",2021,"storm6a","SPC",0.231242312423127,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium"
"67",28,"FRCH",2021,"storm6b","SPC",0.308535630383714,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium"
"68",29,"FRCH",2021,"storm7","SPC",0.638282387190683,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium"
"69",30,"FRCH",2021,"storm8","SPC",0.652048975512244,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium"
"70",31,"FRCH",2021,"storm2","turb",-0.182102272727273,11.4,12.7981546052632,3.4,25.2,30.8,12.8917470238095,11,1.03636363636364,207.565972222222,"unburned","medium"
"71",32,"FRCH",2021,"storm3","turb",-0.195564036282378,5.2,12.0829262820513,8.8,20.2,45.8,17.2071599702381,22,0.236363636363636,216.899305555556,"unburned","medium"
"72",33,"FRCH",2021,"storm4","turb",-0.105639458073207,14.6,9.35502976190476,13.2,23.6,60.6,12.0718244047619,55,0.265454545454545,219.565972222222,"unburned","medium"
"73",34,"FRCH",2021,"storm5a","turb",-0.199815683019657,34.6,5.89865942028985,5.6,44.8,81.4,7.09488169642857,41,0.84390243902439,226.107638888889,"unburned","medium"
"74",35,"FRCH",2021,"storm5b","turb",0.0591667491558606,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium"
"75",36,"FRCH",2021,"storm6a","turb",-0.178622690289054,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium"
"76",37,"FRCH",2021,"storm6b","turb",-0.0213245025902787,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium"
"77",38,"FRCH",2021,"storm7","turb",-0.0151333756442808,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium"
"78",39,"FRCH",2021,"storm8","turb",-0.251528964444053,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium"
"79",1,"MOOS",2021,"storm1","fDOM",-0.0408075601374571,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium"
"80",2,"MOOS",2021,"storm2","fDOM",0.231897742478525,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium"
"81",3,"MOOS",2021,"storm3a","fDOM",0.0673800108552562,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium"
"82",4,"MOOS",2021,"storm3b","fDOM",-0.482031508487946,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium"
"83",5,"MOOS",2021,"storm4a","fDOM",0.82131108450855,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium"
"84",6,"MOOS",2021,"storm4b","fDOM",-0.433726370732624,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium"
"85",7,"MOOS",2021,"storm5a","fDOM",0.759510571114765,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium"
"86",8,"MOOS",2021,"storm5b","fDOM",-0.340461871224708,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium"
"87",9,"MOOS",2021,"storm6","fDOM",0.315638892693922,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium"
"88",10,"MOOS",2021,"storm7","fDOM",0.558567899386132,4.4,2.54522756410256,12.8,35.2,117,5.51787946428571,64.8333333333333,0.067866323907455,238.232638888889,"unburned","medium"
"89",11,"MOOS",2021,"storm1","SPC",0.559782608695596,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium"
"90",12,"MOOS",2021,"storm2","SPC",0.199517212426527,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium"
"91",13,"MOOS",2021,"storm3a","SPC",0.880630630630676,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium"
"92",14,"MOOS",2021,"storm3b","SPC",0.284349696356275,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium"
"93",15,"MOOS",2021,"storm4a","SPC",0.85145437485339,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium"
"94",16,"MOOS",2021,"storm4b","SPC",0.130332764505117,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium"
"95",17,"MOOS",2021,"storm5a","SPC",0.0744177583697052,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium"
"96",18,"MOOS",2021,"storm5b","SPC",0.173049132948026,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium"
"97",19,"MOOS",2021,"storm6","SPC",0.563020833333334,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium"
"98",20,"MOOS",2021,"storm7","SPC",0.796087533156502,4.4,2.54522756410256,12.8,35.2,117,5.51787946428571,64.8333333333333,0.067866323907455,238.232638888889,"unburned","medium"
"99",21,"MOOS",2021,"storm1","turb",-0.006778381642512,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium"
"100",22,"MOOS",2021,"storm2","turb",-0.256596103490264,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium"
"101",23,"MOOS",2021,"storm3a","turb",-0.34451101662157,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium"
"102",24,"MOOS",2021,"storm3b","turb",-0.165877879998927,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium"
"103",25,"MOOS",2021,"storm4a","turb",-0.395123788111412,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium"
"104",26,"MOOS",2021,"storm4b","turb",0.0420820864682341,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium"
"105",27,"MOOS",2021,"storm5a","turb",-0.138542126970099,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium"
"106",28,"MOOS",2021,"storm5b","turb",0.0874138006764176,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium"
"107",29,"MOOS",2021,"storm6","turb",-0.521044029994231,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium"
"108",30,"MOOS",2021,"storm7","turb",-0.494781886858113,4.4,2.54522756410256,12.8,35.2,117,5.51787946428571,64.8333333333333,0.067866323907455,238.232638888889,"unburned","medium"
"109",1,"VAUL",2021,"storm1a","NO3",0.00797476,45.4,NA,36,36.2,96.2,NA,93.83333333,0.48383659,203.6493056,"unburned","high"
"110",2,"VAUL",2021,"storm1b","NO3",-0.260596003,6.6,NA,6.8,81.8,88.8,NA,114.8333333,0.057474601,207.6076389,"unburned","high"
"111",3,"VAUL",2021,"storm2","NO3",-0.05121734,6.2,NA,0,12.8,93.4,NA,16.83333333,0.368316832,216.3993056,"unburned","high"
"112",4,"VAUL",2021,"storm3","NO3",-0.091318404,48.4,NA,5.6,12,101.8,NA,166.8333333,0.29010989,219.5243056,"unburned","high"
"113",5,"VAUL",2021,"storm4a","NO3",0.240690241,36,NA,5.4,54,148.8,NA,106.8333333,0.336973479,226.5243056,"unburned","high"
"114",6,"VAUL",2021,"storm1b","fDOM",0.166198698,6.6,NA,6.8,81.8,88.8,NA,114.8333333,0.057474601,207.6076389,"unburned","high"
"115",7,"VAUL",2021,"storm2","fDOM",0.603470437,6.2,NA,0,12.8,93.4,NA,16.83333333,0.368316832,216.3993056,"unburned","high"
"116",8,"VAUL",2021,"storm3","fDOM",0.370277827,48.4,NA,5.6,12,101.8,NA,166.8333333,0.29010989,219.5243056,"unburned","high"
"117",9,"VAUL",2021,"storm4a","fDOM",-0.378887495,36,NA,5.4,54,148.8,NA,106.8333333,0.336973479,226.5243056,"unburned","high"
"118",10,"VAUL",2021,"storm4b","fDOM",-0.010887026,5.8,NA,11.6,47.8,182,NA,79.83333333,0.072651357,230.9826389,"unburned","high"
"119",11,"VAUL",2021,"storm5a","fDOM",0.479276671,24.4,NA,8.2,50.2,118.6,NA,82.83333333,0.294567404,234.4826389,"unburned","high"
"120",12,"VAUL",2021,"storm5b","fDOM",0.095334171,2.8,NA,18.8,45,129.8,NA,95.83333333,0.029217391,237.9409722,"unburned","high"
"121",13,"VAUL",2021,"storm1b","SPC",0.611146489,6.6,NA,6.8,81.8,88.8,NA,114.8333333,0.057474601,207.6076389,"unburned","high"
"122",14,"VAUL",2021,"storm2","SPC",-0.466755043,6.2,NA,0,12.8,93.4,NA,16.83333333,0.368316832,216.3993056,"unburned","high"
"123",15,"VAUL",2021,"storm3","SPC",0.768248298,48.4,NA,5.6,12,101.8,NA,166.8333333,0.29010989,219.5243056,"unburned","high"
"124",16,"VAUL",2021,"storm4a","SPC",-0.122568286,36,NA,5.4,54,148.8,NA,106.8333333,0.336973479,226.5243056,"unburned","high"
"125",17,"VAUL",2021,"storm4b","SPC",0.367929158,5.8,NA,11.6,47.8,182,NA,79.83333333,0.072651357,230.9826389,"unburned","high"
"126",18,"VAUL",2021,"storm5a","SPC",0.367356512,24.4,NA,8.2,50.2,118.6,NA,82.83333333,0.294567404,234.4826389,"unburned","high"
"127",19,"VAUL",2021,"storm5b","SPC",0.424362969,2.8,NA,18.8,45,129.8,NA,95.83333333,0.029217391,237.9409722,"unburned","high"
"128",20,"VAUL",2021,"storm1b","turb",-0.070419488,6.6,NA,6.8,81.8,88.8,NA,114.8333333,0.057474601,207.6076389,"unburned","high"
"129",21,"VAUL",2021,"storm2","turb",0.370700751,6.2,NA,0,12.8,93.4,NA,16.83333333,0.368316832,216.3993056,"unburned","high"
"130",22,"VAUL",2021,"storm3","turb",-0.128796644,48.4,NA,5.6,12,101.8,NA,166.8333333,0.29010989,219.5243056,"unburned","high"
"131",23,"VAUL",2021,"storm4a","turb",0.056982609,36,NA,5.4,54,148.8,NA,106.8333333,0.336973479,226.5243056,"unburned","high"
"132",24,"VAUL",2021,"storm4b","turb",-0.001903528,5.8,NA,11.6,47.8,182,NA,79.83333333,0.072651357,230.9826389,"unburned","high"
"133",25,"VAUL",2021,"storm5a","turb",-0.0542669,24.4,NA,8.2,50.2,118.6,NA,82.83333333,0.294567404,234.4826389,"unburned","high"
"134",26,"VAUL",2021,"storm5b","turb",-0.020831401,2.8,NA,18.8,45,129.8,NA,95.83333333,0.029217391,237.9409722,"unburned","high"
"135",1,"CARI",2021,"storm1","NO3",0.346938776,8.636,6.917514881,0,0,0,NA,41.96666667,0.205782367,135.5319444,"burned","medium"
"136",2,NA,2021,"storm10",NA,NA,NA,NA,NA,NA,NA,NA,60.98333333,NA,233.0729167,"burned","medium"
"137",3,"CARI",2021,"storm2","NO3",0.5,12.7,2.236290476,8.636,8.636,8.636,6.917514881,34.96666667,0.363203051,238.0736111,"burned","medium"
"138",4,"CARI",2021,"storm3","NO3",0.04,2.159,5.580838542,21.336,21.336,21.336,4.789685606,2130.966667,0.001013155,239.53125,"burned","medium"
"139",5,"CARI",2021,"storm4","NO3",0.258333333,8.763,11.79741667,23.495,23.495,23.495,5.060165242,426.9833333,0.020523049,152.40625,"burned","medium"
"140",6,"CARI",2021,"storm5","NO3",-0.641509434,29.972,13.35300295,32.258,32.258,32.258,6.507091723,938,0.031953092,170.1979167,"burned","medium"
"141",7,"CARI",2021,"storm6","NO3",-0.359649123,21.59,12.74964141,40.894,62.23,62.23,11.44103621,287.9833333,0.074969616,209.2819444,"burned","medium"
"142",8,"CARI",2021,"storm7","NO3",-0.534188034,62.738,8.316919697,44.704,83.82,83.82,12.47640451,170.9833333,0.366924652,221.2819444,"burned","medium"
"143",9,"CARI",2021,"storm8","NO3",-0.043478261,17.78,4.814800412,84.328,146.558,146.558,9.700263807,84.98333333,0.209217494,228.4069444,"burned","medium"
"144",10,"CARI",2021,"storm9","NO3",0.470588235,2.667,4.13666821,74.422,164.338,164.338,6.291603175,26.96666667,0.098899876,231.9486111,"burned","medium"
"145",11,"CARI",2021,"storm1","fDOM",-0.119244631,8.636,6.917514881,0,0,0,NA,41.96666667,0.205782367,135.5319444,"burned","medium"
"146",12,"CARI",2021,"storm2","fDOM",-0.118121619,12.7,2.236290476,8.636,8.636,8.636,6.917514881,34.96666667,0.363203051,238.0736111,"burned","medium"
"147",13,"CARI",2021,"storm3","fDOM",-0.5625,2.159,5.580838542,21.336,21.336,21.336,4.789685606,2130.966667,0.001013155,239.53125,"burned","medium"
"148",14,"CARI",2021,"storm4","fDOM",-0.654694061,8.763,11.79741667,23.495,23.495,23.495,5.060165242,426.9833333,0.020523049,152.40625,"burned","medium"
"149",15,"CARI",2021,"storm5","fDOM",-0.574483959,29.972,13.35300295,32.258,32.258,32.258,6.507091723,938,0.031953092,170.1979167,"burned","medium"
"150",16,"CARI",2021,"storm6","fDOM",-0.572999446,21.59,12.74964141,40.894,62.23,62.23,11.44103621,287.9833333,0.074969616,209.2819444,"burned","medium"
"151",17,"CARI",2021,"storm7","fDOM",-0.369767289,62.738,8.316919697,44.704,83.82,83.82,12.47640451,170.9833333,0.366924652,221.2819444,"burned","medium"
"152",18,"CARI",2021,"storm8","fDOM",-0.030093127,17.78,4.814800412,84.328,146.558,146.558,9.700263807,84.98333333,0.209217494,228.4069444,"burned","medium"
"153",19,"CARI",2021,"storm9","fDOM",-0.005471738,2.667,4.13666821,74.422,164.338,164.338,6.291603175,26.96666667,0.098899876,231.9486111,"burned","medium"
"154",20,"CARI",2021,"storm1","SPC",0.071710127,8.636,6.917514881,0,0,0,NA,41.96666667,0.205782367,135.5319444,"burned","medium"
"155",21,"CARI",2021,"storm2","SPC",0.627012522,12.7,2.236290476,8.636,8.636,8.636,6.917514881,34.96666667,0.363203051,238.0736111,"burned","medium"
"156",22,"CARI",2021,"storm3","SPC",0.762699203,2.159,5.580838542,21.336,21.336,21.336,4.789685606,2130.966667,0.001013155,239.53125,"burned","medium"
"157",23,"CARI",2021,"storm4","SPC",0.772788656,8.763,11.79741667,23.495,23.495,23.495,5.060165242,426.9833333,0.020523049,152.40625,"burned","medium"
"158",24,"CARI",2021,"storm5","SPC",0.742105263,29.972,13.35300295,32.258,32.258,32.258,6.507091723,938,0.031953092,170.1979167,"burned","medium"
"159",25,"CARI",2021,"storm6","SPC",0.747066667,21.59,12.74964141,40.894,62.23,62.23,11.44103621,287.9833333,0.074969616,209.2819444,"burned","medium"
"160",26,"CARI",2021,"storm7","SPC",0.460646479,62.738,8.316919697,44.704,83.82,83.82,12.47640451,170.9833333,0.366924652,221.2819444,"burned","medium"
"161",27,"CARI",2021,"storm8","SPC",0.423245614,17.78,4.814800412,84.328,146.558,146.558,9.700263807,84.98333333,0.209217494,228.4069444,"burned","medium"
"162",28,"CARI",2021,"storm9","SPC",-0.086734694,2.667,4.13666821,74.422,164.338,164.338,6.291603175,26.96666667,0.098899876,231.9486111,"burned","medium"
"163",29,"CARI",2021,"storm1","turb",-0.246643213,8.636,6.917514881,0,0,0,NA,41.96666667,0.205782367,135.5319444,"burned","medium"
"164",30,"CARI",2021,"storm2","turb",0.195500928,12.7,2.236290476,8.636,8.636,8.636,6.917514881,34.96666667,0.363203051,238.0736111,"burned","medium"
